235-55/20,215-45/18,205-45/17,185-55/16,165-55/15
235-55/19,215-50/18,205-55/17,195-50/16,175-60/15
235-40/19,225-40/18,215-45/17,195-55/16,175-65/15
245-40/19,225-50/18,215-50/17,195-60/16,185-60/15
245-45/19,225-55/18,215-55/17,195-65/16,195-55/15
255-35/19,225-60/18,215-60/17,195-75/16,195-65/15
255-40/19,235-40/18,225-45/17,205-55/16,195-70/15
255-45/19,235-55/18,225-50/17,205-60/16,195-15
255-50/19,245-40/18,225-55/17,205-65/16,205-60/15
265-40/19,245-45/18,225-60/17,205-75/16,205-65/15
265-45/19,245-50/18,225-65/17,215-45/16,205-70/15
275-30/19,255-35/18,235-45/17,215-55/16,175-14
275-40/19,255-40/18,235-55/17,215-60/16,165-70/14
285-45/19,255-55/18,235-65/17,215-65/16,175-70/14
,265-35/18,245-40/17,215-70/16,185-60/14
,275-40/18,245-45/17,225-55/16,185-70/14
,285-35/18,,225-60/16,195-70/14
,,,235-60/16,195-70/14
,,,235-70/16,175-70/13
,,,,165-70/13
,,,,165-65/13
,,,,155-12
,,,,185/70-13
